household,filename,column,total_rows,missing_count,missing_pct,zero_count,zero_pct,negative_count,min_val,max_val,mean_val,median_val,std_val
3,CLEAN_House3.csv,Appliance1,6994594,0,0.0,6979897,99.79,0,0.0,2201.0,1.68,0.0,41.46
3,CLEAN_House3.csv,Appliance2,6994594,0,0.0,3274313,46.81,0,0.0,3584.0,53.16,81.0,60.23
3,CLEAN_House3.csv,Appliance3,6994594,0,0.0,4160564,59.48,0,0.0,2140.0,36.26,0.0,48.34
3,CLEAN_House3.csv,Appliance4,6994594,0,0.0,6712892,95.97,0,0.0,2820.0,55.3,0.0,351.49
3,CLEAN_House3.csv,Appliance5,6994594,0,0.0,6308863,90.2,0,0.0,3840.0,49.07,0.0,310.89
3,CLEAN_House3.csv,Appliance6,6994594,0,0.0,6524524,93.28,0,0.0,2746.0,28.92,0.0,211.97
3,CLEAN_House3.csv,Appliance7,6994594,0,0.0,4580518,65.49,0,0.0,3728.0,48.44,0.0,68.21
3,CLEAN_House3.csv,Appliance8,6994594,0,0.0,6935727,99.16,0,0.0,2848.0,2.72,0.0,59.58
3,CLEAN_House3.csv,Appliance9,6994594,0,0.0,6905931,98.73,0,0.0,2277.0,19.65,0.0,189.32
3,CLEAN_House3.csv,Issues,6994594,0,0.0,6585967,94.16,0,0.0,1.0,0.06,0.0,0.23
4,CLEAN_House4.csv,Aggregate,6760511,0,0.0,58,0.0,0,0.0,65663.0,381.22,297.0,428.32
4,CLEAN_House4.csv,Appliance1,6760511,0,0.0,5468943,80.9,0,0.0,3968.0,9.83,0.0,24.98
4,CLEAN_House4.csv,Appliance2,6760511,0,0.0,3813362,56.41,0,0.0,3791.0,61.18,0.0,73.08
4,CLEAN_House4.csv,Appliance3,6760511,0,0.0,4768855,70.54,0,0.0,3717.0,37.35,0.0,60.2
4,CLEAN_House4.csv,Appliance4,6760511,0,0.0,6255383,92.53,0,0.0,3100.0,4.21,0.0,96.12
4,CLEAN_House4.csv,Appliance5,6760511,0,0.0,6646094,98.31,0,0.0,2728.0,10.58,0.0,151.2
4,CLEAN_House4.csv,Appliance6,6760511,0,0.0,1039390,15.37,0,0.0,2059.0,13.65,9.0,22.44
4,CLEAN_House4.csv,Appliance7,6760511,0,0.0,3997571,59.13,0,0.0,2548.0,23.24,0.0,33.56
4,CLEAN_House4.csv,Appliance8,6760511,0,0.0,620563,9.18,0,0.0,3592.0,9.58,2.0,92.99
4,CLEAN_House4.csv,Appliance9,6760511,0,0.0,6717870,99.37,0,0.0,2560.0,10.72,0.0,142.79
4,CLEAN_House4.csv,Issues,6760511,0,0.0,6693070,99.0,0,0.0,1.0,0.01,0.0,0.1
5,CLEAN_House5.csv,Aggregate,7430755,0,0.0,7,0.0,0,0.0,41738.0,738.15,461.0,808.24
5,CLEAN_House5.csv,Appliance1,7430755,0,0.0,54,0.0,0,0.0,2807.0,59.96,97.0,69.86
5,CLEAN_House5.csv,Appliance2,7430755,0,0.0,6070415,81.69,0,0.0,3922.0,84.53,0.0,336.49
5,CLEAN_House5.csv,Appliance3,7430755,0,0.0,3845800,51.76,0,0.0,2437.0,31.36,0.0,209.27
5,CLEAN_House5.csv,Appliance4,7430755,0,0.0,5065883,68.17,0,0.0,2653.0,57.95,0.0,348.36
5,CLEAN_House5.csv,Appliance5,7430755,0,0.0,739798,9.96,0,0.0,3073.0,42.15,9.0,50.59
5,CLEAN_House5.csv,Appliance6,7430755,0,0.0,5898385,79.38,0,0.0,3584.0,15.84,0.0,31.85
5,CLEAN_House5.csv,Appliance7,7430755,0,0.0,6812209,91.68,0,0.0,2919.0,27.37,0.0,223.88
5,CLEAN_House5.csv,Appliance8,7430755,0,0.0,7360231,99.05,0,0.0,3856.0,22.32,0.0,245.5
5,CLEAN_House5.csv,Appliance9,7430755,0,0.0,7397894,99.56,0,0.0,2688.0,6.08,0.0,100.67
5,CLEAN_House5.csv,Issues,7430755,0,0.0,7004989,94.27,0,0.0,1.0,0.06,0.0,0.23
6,CLEAN_House6.csv,Aggregate,6241971,0,0.0,339,0.01,0,0.0,32756.0,482.89,366.0,467.21
6,CLEAN_House6.csv,Appliance1,6241971,0,0.0,4099357,65.67,0,0.0,3640.0,20.03,0.0,35.74
6,CLEAN_House6.csv,Appliance2,6241971,0,0.0,6089983,97.57,0,0.0,3968.0,7.12,0.0,104.44
6,CLEAN_House6.csv,Appliance3,6241971,0,0.0,6133444,98.26,0,0.0,2728.0,10.75,0.0,149.57
6,CLEAN_House6.csv,Appliance4,6241971,0,0.0,96,0.0,0,0.0,3963.0,66.21,17.0,79.25
6,CLEAN_House6.csv,Appliance5,6241971,0,0.0,537705,8.61,0,0.0,3806.0,38.38,14.0,47.27
6,CLEAN_House6.csv,Appliance6,6241971,0,0.0,194,0.0,0,0.0,2689.0,8.17,1.0,97.07
6,CLEAN_House6.csv,Appliance7,6241971,0,0.0,6174649,98.92,0,0.0,2820.0,23.63,0.0,247.33
6,CLEAN_House6.csv,Appliance8,6241971,0,0.0,6212732,99.53,0,0.0,2560.0,2.94,0.0,55.78
6,CLEAN_House6.csv,Appliance9,6241971,0,0.0,234503,3.76,0,0.0,3592.0,13.81,7.0,24.75
6,CLEAN_House6.csv,Issues,6241971,0,0.0,6207520,99.45,0,0.0,1.0,0.01,0.0,0.07
7,CLEAN_House7.csv,Aggregate,6756034,0,0.0,326,0.0,0,0.0,32730.0,565.88,222.0,843.32
7,CLEAN_House7.csv,Appliance1,6756034,0,0.0,5313646,78.65,0,0.0,2948.0,15.64,0.0,32.71
7,CLEAN_House7.csv,Appliance2,6756034,0,0.0,102,0.0,0,0.0,3842.0,45.08,3.0,52.06
7,CLEAN_House7.csv,Appliance3,6756034,0,0.0,6650082,98.43,0,0.0,3072.0,1.37,0.0,30.83
7,CLEAN_House7.csv,Appliance4,6756034,0,0.0,6518797,96.49,0,0.0,3630.0,72.7,0.0,460.18
7,CLEAN_House7.csv,Appliance5,6756034,0,0.0,5673418,83.98,0,0.0,3584.0,38.15,0.0,248.6
7,CLEAN_House7.csv,Appliance6,6756034,0,0.0,6012861,89.0,0,0.0,3008.0,63.61,0.0,356.08
7,CLEAN_House7.csv,Appliance7,6756034,0,0.0,4648771,68.81,0,0.0,2560.0,11.09,0.0,19.07
7,CLEAN_House7.csv,Appliance8,6756034,0,0.0,6734026,99.67,0,0.0,3968.0,2.71,0.0,49.99
7,CLEAN_House7.csv,Appliance9,6756034,0,0.0,6725088,99.54,0,0.0,3968.0,8.84,0.0,139.37
7,CLEAN_House7.csv,Issues,6756034,0,0.0,6594115,97.6,0,0.0,1.0,0.02,0.0,0.15
8,CLEAN_House8.csv,Aggregate,6118469,0,0.0,47,0.0,0,0.0,25358.0,685.62,254.0,1163.25
8,CLEAN_House8.csv,Appliance1,6118469,0,0.0,4937879,80.7,0,0.0,3584.0,8.84,0.0,29.31
8,CLEAN_House8.csv,Appliance2,6118469,0,0.0,4445729,72.66,0,0.0,2730.0,21.92,0.0,46.36
8,CLEAN_House8.csv,Appliance3,6118469,0,0.0,4466953,73.01,0,0.0,3044.0,6.0,0.0,101.18
8,CLEAN_House8.csv,Appliance4,6118469,0,0.0,5140709,84.02,0,0.0,3972.0,29.43,0.0,244.18
8,CLEAN_House8.csv,Appliance5,6118469,0,0.0,6101526,99.72,0,0.0,2432.0,1.94,0.0,41.96
8,CLEAN_House8.csv,Appliance6,6118469,0,0.0,70,0.0,0,0.0,3783.0,19.47,17.0,15.37
8,CLEAN_House8.csv,Appliance7,6118469,0,0.0,625,0.01,0,0.0,2730.0,25.37,5.0,48.36
8,CLEAN_House8.csv,Appliance8,6118469,0,0.0,179,0.0,0,0.0,3778.0,9.89,2.0,107.23
8,CLEAN_House8.csv,Appliance9,6118469,0,0.0,6064270,99.11,0,0.0,3840.0,20.73,0.0,237.31
8,CLEAN_House8.csv,Issues,6118469,0,0.0,6093469,99.59,0,0.0,1.0,0.0,0.0,0.06
9,CLEAN_House9.csv,Aggregate,6169525,0,0.0,22,0.0,0,0.0,28836.0,576.05,208.0,982.14
9,CLEAN_House9.csv,Appliance1,6169525,0,0.0,2995503,48.55,0,0.0,3106.0,46.69,25.0,62.96
9,CLEAN_House9.csv,Appliance2,6169525,0,0.0,5936949,96.23,0,0.0,3584.0,37.83,0.0,249.88
9,CLEAN_House9.csv,Appliance3,6169525,0,0.0,5595690,90.7,0,0.0,2484.0,15.14,0.0,164.51
9,CLEAN_House9.csv,Appliance4,6169525,0,0.0,5745241,93.12,0,0.0,3072.0,48.11,0.0,310.85
9,CLEAN_House9.csv,Appliance5,6169525,0,0.0,44,0.0,0,0.0,2993.0,26.39,12.0,37.67
9,CLEAN_House9.csv,Appliance6,6169525,0,0.0,6158789,99.83,0,0.0,3584.0,1.57,0.0,41.04
9,CLEAN_House9.csv,Appliance7,6169525,0,0.0,6098228,98.84,0,0.0,3072.0,27.25,0.0,270.94
9,CLEAN_House9.csv,Appliance8,6169525,0,0.0,50313,0.82,0,0.0,2053.0,6.6,5.0,3.04
9,CLEAN_House9.csv,Appliance9,6169525,0,0.0,6072872,98.43,0,0.0,2144.0,8.33,0.0,124.23
9,CLEAN_House9.csv,Issues,6169525,0,0.0,6137299,99.48,0,0.0,1.0,0.01,0.0,0.07
10,CLEAN_House10.csv,Aggregate,6739284,0,0.0,129,0.0,0,0.0,37031.0,776.16,432.0,871.56
10,CLEAN_House10.csv,Appliance1,6739284,0,0.0,5583132,82.84,0,0.0,3584.0,13.34,0.0,29.97
10,CLEAN_House10.csv,Appliance2,6739284,0,0.0,4951019,73.47,0,0.0,2632.0,16.4,0.0,51.55
10,CLEAN_House10.csv,Appliance3,6739284,0,0.0,2653488,39.37,0,0.0,2116.0,43.11,66.0,38.07
10,CLEAN_House10.csv,Appliance4,6739284,0,0.0,4118672,61.11,0,0.0,2159.0,23.52,0.0,41.71
10,CLEAN_House10.csv,Appliance5,6739284,0,0.0,6103190,90.56,0,0.0,3897.0,32.74,0.0,217.26
10,CLEAN_House10.csv,Appliance6,6739284,0,0.0,2045391,30.35,0,0.0,3585.0,147.99,1.0,478.26
10,CLEAN_House10.csv,Appliance7,6739284,0,0.0,342,0.01,0,0.0,2614.0,55.97,47.0,27.75
10,CLEAN_House10.csv,Appliance8,6739284,0,0.0,6701091,99.43,0,0.0,2974.0,3.11,0.0,59.21
10,CLEAN_House10.csv,Appliance9,6739284,0,0.0,6536419,96.99,0,0.0,3928.0,2.79,0.0,68.42
10,CLEAN_House10.csv,Issues,6739284,0,0.0,6709122,99.55,0,0.0,1.0,0.0,0.0,0.07
11,CLEAN_House11.csv,Aggregate,4431541,0,0.0,162,0.0,0,0.0,32932.0,461.23,184.0,614.41
11,CLEAN_House11.csv,Appliance1,4431541,0,0.0,3605425,81.36,0,0.0,2885.0,8.69,0.0,68.84
11,CLEAN_House11.csv,Appliance2,4431541,0,0.0,3245599,73.24,0,0.0,2178.0,21.69,0.0,38.22
11,CLEAN_House11.csv,Appliance3,4431541,0,0.0,4119997,92.97,0,0.0,2489.0,6.39,0.0,109.64
11,CLEAN_House11.csv,Appliance4,4431541,0,0.0,4397881,99.24,0,0.0,3032.0,5.7,0.0,110.02
11,CLEAN_House11.csv,Appliance5,4431541,0,0.0,3161682,71.34,0,0.0,2056.0,3.08,0.0,7.07
11,CLEAN_House11.csv,Appliance6,4431541,0,0.0,150,0.0,0,0.0,2562.0,3.41,2.0,41.42
11,CLEAN_House11.csv,Appliance7,4431541,0,0.0,4379339,98.82,0,0.0,2256.0,21.68,0.0,211.19
11,CLEAN_House11.csv,Appliance8,4431541,0,0.0,39,0.0,0,0.0,333.0,11.46,12.0,1.05
11,CLEAN_House11.csv,Appliance9,4431541,0,0.0,3665001,82.7,0,0.0,3588.0,3.43,0.0,8.04
11,CLEAN_House11.csv,Issues,4431541,0,0.0,4391427,99.09,0,0.0,1.0,0.01,0.0,0.09
12,CLEAN_House12.csv,Aggregate,5859544,0,0.0,115,0.0,0,0.0,16543.0,367.21,167.0,618.05
12,CLEAN_House12.csv,Appliance1,5859544,0,0.0,3788090,64.65,0,0.0,3968.0,29.9,0.0,45.85
12,CLEAN_House12.csv,Appliance2,5859544,0,0.0,165,0.0,0,0.0,3600.0,41.84,5.0,69.57
12,CLEAN_House12.csv,Appliance3,5859544,0,0.0,2214531,37.79,0,0.0,3073.0,4.43,1.0,73.19
12,CLEAN_House12.csv,Appliance4,5859544,0,0.0,5803289,99.04,0,0.0,3968.0,23.79,0.0,256.87
12,CLEAN_House12.csv,Appliance5,5859544,0,0.0,5829829,99.49,0,0.0,3584.0,1.65,0.0,34.34
12,CLEAN_House12.csv,Appliance6,5859544,0,0.0,5581352,95.25,0,0.0,2050.0,5.12,0.0,23.57
12,CLEAN_House12.csv,Appliance7,5859544,0,0.0,5859544,100.0,0,0.0,0.0,0.0,0.0,0.0
12,CLEAN_House12.csv,Appliance8,5859544,0,0.0,5859544,100.0,0,0.0,0.0,0.0,0.0,0.0
12,CLEAN_House12.csv,Appliance9,5859544,0,0.0,5859544,100.0,0,0.0,0.0,0.0,0.0,0.0
12,CLEAN_House12.csv,Issues,5859544,0,0.0,5845361,99.76,0,0.0,1.0,0.0,0.0,0.05
13,CLEAN_House13.csv,Aggregate,4737371,0,0.0,2,0.0,0,0.0,25140.0,557.77,321.0,796.27
13,CLEAN_House13.csv,Appliance1,4737371,0,0.0,4450193,93.94,0,0.0,2688.0,6.06,0.0,33.81
13,CLEAN_House13.csv,Appliance2,4737371,0,0.0,4059610,85.69,0,0.0,2048.0,34.43,0.0,217.96
13,CLEAN_House13.csv,Appliance3,4737371,0,0.0,4035588,85.19,0,0.0,3074.0,21.77,0.0,191.27
13,CLEAN_House13.csv,Appliance4,4737371,0,0.0,4645565,98.06,0,0.0,2448.0,22.9,0.0,204.01
13,CLEAN_House13.csv,Appliance5,4737371,0,0.0,2318047,48.93,0,0.0,2960.0,68.69,1.0,365.37
13,CLEAN_House13.csv,Appliance6,4737371,0,0.0,2539787,53.61,0,0.0,3593.0,61.38,0.0,72.86
13,CLEAN_House13.csv,Appliance7,4737371,0,0.0,277,0.01,0,0.0,3348.0,38.71,41.0,27.62
13,CLEAN_House13.csv,Appliance8,4737371,0,0.0,627,0.01,0,0.0,3073.0,4.65,1.0,71.88
13,CLEAN_House13.csv,Appliance9,4737371,0,0.0,4685013,98.89,0,0.0,3840.0,17.05,0.0,207.07
13,CLEAN_House13.csv,Issues,4737371,0,0.0,4613575,97.39,0,0.0,1.0,0.03,0.0,0.16
15,CLEAN_House15.csv,Aggregate,6225696,0,0.0,10,0.0,0,0.0,8840.0,254.83,179.0,350.9
15,CLEAN_House15.csv,Appliance1,6225696,0,0.0,4260713,68.44,0,0.0,2048.0,24.41,0.0,38.89
15,CLEAN_House15.csv,Appliance2,6225696,0,0.0,6177743,99.23,0,0.0,2710.0,11.34,0.0,163.3
15,CLEAN_House15.csv,Appliance3,6225696,0,0.0,6001436,96.4,0,0.0,3336.0,17.35,0.0,174.82
15,CLEAN_House15.csv,Appliance4,6225696,0,0.0,6209974,99.75,0,0.0,3328.0,1.33,0.0,49.5
15,CLEAN_House15.csv,Appliance5,6225696,0,0.0,5944714,95.49,0,0.0,3598.0,0.95,0.0,5.86
15,CLEAN_House15.csv,Appliance6,6225696,0,0.0,4641225,74.55,0,0.0,2118.0,17.7,0.0,30.74
15,CLEAN_House15.csv,Appliance7,6225696,0,0.0,1222898,19.64,0,0.0,3585.0,2.56,1.0,44.8
15,CLEAN_House15.csv,Appliance8,6225696,0,0.0,6197495,99.55,0,0.0,3084.0,11.42,0.0,179.56
15,CLEAN_House15.csv,Appliance9,6225696,0,0.0,6223564,99.97,0,0.0,2560.0,0.29,0.0,16.67
15,CLEAN_House15.csv,Issues,6225696,0,0.0,6202347,99.62,0,0.0,1.0,0.0,0.0,0.06
16,CLEAN_House16.csv,Aggregate,5722544,0,0.0,3,0.0,0,0.0,68093.0,555.73,349.0,677.8
16,CLEAN_House16.csv,Appliance1,5722544,0,0.0,1676568,29.3,0,0.0,2054.0,44.58,6.0,50.04
16,CLEAN_House16.csv,Appliance2,5722544,0,0.0,4418600,77.21,0,0.0,3072.0,19.6,0.0,45.33
16,CLEAN_House16.csv,Appliance3,5722544,0,0.0,5719897,99.95,0,0.0,3552.0,0.25,0.0,13.94
16,CLEAN_House16.csv,Appliance4,5722544,0,0.0,4534865,79.25,0,0.0,3421.0,2.12,0.0,41.5
16,CLEAN_House16.csv,Appliance5,5722544,0,0.0,5339138,93.3,0,0.0,3076.0,19.47,0.0,184.02
16,CLEAN_House16.csv,Appliance6,5722544,0,0.0,5354020,93.56,0,0.0,3328.0,26.76,0.0,237.86
16,CLEAN_House16.csv,Appliance7,5722544,0,0.0,1779852,31.1,0,0.0,3975.0,19.08,6.0,20.48
16,CLEAN_House16.csv,Appliance8,5722544,0,0.0,2530587,44.22,0,0.0,2455.0,48.33,5.0,79.36
16,CLEAN_House16.csv,Appliance9,5722544,0,0.0,5287973,92.41,0,0.0,2703.0,29.14,0.0,134.98
16,CLEAN_House16.csv,Issues,5722544,0,0.0,5707831,99.74,0,0.0,1.0,0.0,0.0,0.05
17,CLEAN_House17.csv,Aggregate,5431577,0,0.0,21,0.0,0,0.0,68232.0,405.75,232.0,784.4
17,CLEAN_House17.csv,Appliance1,5431577,0,0.0,3268816,60.18,0,0.0,2190.0,57.24,0.0,71.93
17,CLEAN_House17.csv,Appliance2,5431577,0,0.0,3452863,63.57,0,0.0,2130.0,28.81,0.0,43.18
17,CLEAN_House17.csv,Appliance3,5431577,0,0.0,5412154,99.64,0,0.0,2688.0,5.53,0.0,115.83
17,CLEAN_House17.csv,Appliance4,5431577,0,0.0,5254546,96.74,0,0.0,2399.0,10.6,0.0,130.5
17,CLEAN_House17.csv,Appliance5,5431577,0,0.0,55,0.0,0,0.0,3178.0,20.25,4.0,37.7
17,CLEAN_House17.csv,Appliance6,5431577,0,0.0,593311,10.92,0,0.0,3083.0,18.49,16.0,17.22
17,CLEAN_House17.csv,Appliance7,5431577,0,0.0,423,0.01,0,0.0,2050.0,6.42,2.0,75.03
17,CLEAN_House17.csv,Appliance8,5431577,0,0.0,5340832,98.33,0,0.0,3584.0,27.27,0.0,265.96
17,CLEAN_House17.csv,Appliance9,5431577,0,0.0,3080046,56.71,0,0.0,3120.0,1.0,0.0,14.57
17,CLEAN_House17.csv,Issues,5431577,0,0.0,5345640,98.42,0,0.0,1.0,0.02,0.0,0.12
18,CLEAN_House18.csv,Aggregate,5007721,0,0.0,23682,0.47,0,0.0,29008.0,449.6,357.0,501.74
18,CLEAN_House18.csv,Appliance1,5007721,0,0.0,4156707,83.01,0,0.0,2159.0,19.03,0.0,48.27
18,CLEAN_House18.csv,Appliance2,5007721,0,0.0,3308257,66.06,0,0.0,2560.0,56.74,0.0,85.5
18,CLEAN_House18.csv,Appliance3,5007721,0,0.0,426709,8.52,0,0.0,2173.0,66.79,10.0,65.23
18,CLEAN_House18.csv,Appliance4,5007721,0,0.0,4996987,99.79,0,0.0,2816.0,1.52,0.0,51.93
18,CLEAN_House18.csv,Appliance5,5007721,0,0.0,4934626,98.54,0,0.0,2475.0,5.02,0.0,92.52
18,CLEAN_House18.csv,Appliance6,5007721,0,0.0,4894464,97.74,0,0.0,3488.0,23.08,0.0,244.0
18,CLEAN_House18.csv,Appliance7,5007721,0,0.0,49,0.0,0,0.0,3853.0,26.67,20.0,24.46
18,CLEAN_House18.csv,Appliance8,5007721,0,0.0,938,0.02,0,0.0,3913.0,41.79,25.0,33.02
18,CLEAN_House18.csv,Appliance9,5007721,0,0.0,2450,0.05,0,0.0,3585.0,3.55,1.0,63.89
18,CLEAN_House18.csv,Issues,5007721,0,0.0,4833231,96.52,0,0.0,1.0,0.03,0.0,0.18
19,CLEAN_House19.csv,Aggregate,5622610,0,0.0,19,0.0,0,0.0,8856.0,291.31,187.0,380.58
19,CLEAN_House19.csv,Appliance1,5622610,0,0.0,2657124,47.26,0,0.0,3840.0,50.24,68.0,57.29
19,CLEAN_House19.csv,Appliance2,5622610,0,0.0,5255711,93.47,0,0.0,3072.0,6.38,0.0,75.04
19,CLEAN_House19.csv,Appliance3,5622610,0,0.0,119,0.0,0,0.0,3847.0,14.14,7.0,18.43
19,CLEAN_House19.csv,Appliance4,5622610,0,0.0,5600685,99.61,0,0.0,3072.0,2.88,0.0,59.85
19,CLEAN_House19.csv,Appliance5,5622610,0,0.0,5588183,99.39,0,0.0,3584.0,14.98,0.0,209.46
19,CLEAN_House19.csv,Appliance6,5622610,0,0.0,5607818,99.74,0,0.0,2248.0,1.88,0.0,40.55
19,CLEAN_House19.csv,Appliance7,5622610,0,0.0,5503188,97.88,0,0.0,3616.0,5.36,0.0,51.5
19,CLEAN_House19.csv,Appliance8,5622610,0,0.0,5412683,96.27,0,0.0,3120.0,2.87,0.0,15.77
19,CLEAN_House19.csv,Appliance9,5622610,0,0.0,5512829,98.05,0,0.0,3840.0,0.26,0.0,7.73
19,CLEAN_House19.csv,Issues,5622610,0,0.0,5559974,98.89,0,0.0,1.0,0.01,0.0,0.1
20,CLEAN_House20.csv,Aggregate,5168605,0,0.0,1,0.0,0,0.0,32889.0,378.0,263.0,469.71
20,CLEAN_House20.csv,Appliance1,5168605,0,0.0,3009416,58.22,0,0.0,2129.0,35.72,0.0,45.09
20,CLEAN_House20.csv,Appliance2,5168605,0,0.0,97,0.0,0,0.0,2050.0,56.06,2.0,63.7
20,CLEAN_House20.csv,Appliance3,5168605,0,0.0,5069738,98.09,0,0.0,3623.0,19.42,0.0,168.96
20,CLEAN_House20.csv,Appliance4,5168605,0,0.0,5024193,97.21,0,0.0,2560.0,8.21,0.0,117.47
20,CLEAN_House20.csv,Appliance5,5168605,0,0.0,5032130,97.36,0,0.0,3588.0,11.3,0.0,154.61
20,CLEAN_House20.csv,Appliance6,5168605,0,0.0,4711453,91.16,0,0.0,2096.0,6.64,0.0,25.6
20,CLEAN_House20.csv,Appliance7,5168605,0,0.0,254,0.0,0,0.0,3850.0,15.13,4.0,24.35
20,CLEAN_House20.csv,Appliance8,5168605,0,0.0,188,0.0,0,0.0,3586.0,7.28,2.0,82.31
20,CLEAN_House20.csv,Appliance9,5168605,0,0.0,5139549,99.44,0,0.0,3968.0,13.17,0.0,190.72
20,CLEAN_House20.csv,Issues,5168605,0,0.0,5149011,99.62,0,0.0,1.0,0.0,0.0,0.06
21,CLEAN_House21.csv,Aggregate,5383993,0,0.0,72,0.0,0,0.0,65793.0,646.84,272.0,727.86
21,CLEAN_House21.csv,Appliance1,5383993,0,0.0,7462,0.14,0,0.0,3969.0,45.32,1.0,50.02
21,CLEAN_House21.csv,Appliance2,5383993,0,0.0,5277086,98.01,0,0.0,3968.0,23.54,0.0,183.42
21,CLEAN_House21.csv,Appliance3,5383993,0,0.0,5198493,96.55,0,0.0,3968.0,14.71,0.0,161.68
21,CLEAN_House21.csv,Appliance4,5383993,0,0.0,4650954,86.38,0,0.0,3968.0,46.68,0.0,282.38
21,CLEAN_House21.csv,Appliance5,5383993,0,0.0,5377176,99.87,0,0.0,382.0,0.06,0.0,2.13
21,CLEAN_House21.csv,Appliance6,5383993,0,0.0,4314722,80.14,0,0.0,2946.0,6.61,0.0,19.21
21,CLEAN_House21.csv,Appliance7,5383993,0,0.0,5354609,99.45,0,0.0,3584.0,6.97,0.0,123.08
21,CLEAN_House21.csv,Appliance8,5383993,0,0.0,17753,0.33,0,0.0,2489.0,19.44,20.0,3.2
21,CLEAN_House21.csv,Appliance9,5383993,0,0.0,2094612,38.9,0,0.0,3631.0,27.13,43.0,22.51
21,CLEAN_House21.csv,Issues,5383993,0,0.0,5177161,96.16,0,0.0,1.0,0.04,0.0,0.19
